,partID,trial.choiceType,resp.cor,sym_cor,sym_incor,outcome_cor,outcome_incor,position_cor,position_incor
1,5c699406187d9c00018d0d5b,1,0,7,5,0,-90,0,1
2,5c699406187d9c00018d0d5b,2,1,7,5,0,-90,1,0
3,5c699406187d9c00018d0d5b,3,1,7,5,0,-90,1,0
4,5c699406187d9c00018d0d5b,4,1,7,5,0,-90,0,1
5,5c699406187d9c00018d0d5b,5,1,7,5,-90,0,0,1
6,5c699406187d9c00018d0d5b,6,1,7,5,-90,-90,0,1
7,5c699406187d9c00018d0d5b,7,1,7,5,0,-90,1,0
8,5c699406187d9c00018d0d5b,8,1,7,5,0,-90,0,1
9,5c699406187d9c00018d0d5b,9,1,7,5,0,-90,0,1
10,5c699406187d9c00018d0d5b,10,1,7,5,-90,0,0,1
11,5c699406187d9c00018d0d5b,11,1,7,5,-90,0,0,1
12,5c699406187d9c00018d0d5b,12,1,7,5,-90,-90,0,1
13,5c699406187d9c00018d0d5b,13,1,7,5,0,0,1,0
14,5c699406187d9c00018d0d5b,14,1,7,5,-90,0,1,0
15,5c699406187d9c00018d0d5b,15,1,7,5,0,-90,1,0
16,5c699406187d9c00018d0d5b,16,1,7,5,-90,-90,1,0
17,5c699406187d9c00018d0d5b,17,1,7,5,0,-90,0,1
18,5c699406187d9c00018d0d5b,18,1,7,5,0,-90,0,1
19,5c699406187d9c00018d0d5b,19,1,7,5,-90,-90,1,0
20,5c699406187d9c00018d0d5b,20,0,7,5,-90,-90,0,1
21,5c699406187d9c00018d0d5b,21,0,7,5,0,-90,1,0
22,5c699406187d9c00018d0d5b,22,1,7,5,0,-90,0,1
23,5c699406187d9c00018d0d5b,23,1,7,5,0,-90,0,1
24,5c699406187d9c00018d0d5b,24,1,7,5,0,-90,1,0
25,5c699406187d9c00018d0d5b,25,1,7,5,0,0,1,0
26,5c699406187d9c00018d0d5b,26,1,7,5,-90,-90,1,0
27,5c699406187d9c00018d0d5b,27,1,7,5,0,-90,1,0
28,5c699406187d9c00018d0d5b,28,1,7,5,0,0,1,0
